Year of Birth,Gender,Ethnicity,Child's First Name,Count
2019,male,asian and pacific islander,jonathan,29
2017,male,black non hispanic,dylan,29
2017,male,black non hispanic,james,29
2017,male,black non hispanic,joel,29
2011,male,asian and pacific islander,brandon,29
2015,male,asian and pacific islander,ian,29
2015,male,asian and pacific islander,syed,29
2015,male,asian and pacific islander,tyler,29
2013,male,asian and pacific islander,christopher,29
2013,male,asian and pacific islander,ian,29
2013,male,asian and pacific islander,nicholas,29
2014,male,asian and pacific islander,aidan,29
2014,male,asian and pacific islander,jeremy,29
2016,male,black non hispanic,bryce,29
2016,male,black non hispanic,emmanuel,29
2016,male,black non hispanic,karter,29
2016,male,black non hispanic,kyle,29
2016,male,black non hispanic,zachary,29
2016,male,asian and pacific islander,joseph,29
2016,male,asian and pacific islander,mohammed,29
2012,male,white non hispanic,ibrahim,29
2012,male,black non hispanic,jaiden,29
2012,male,black non hispanic,jaylen,29
2012,male,white non hispanic,jeffrey,29
2012,male,white non hispanic,joseph,29
2012,male,black non hispanic,marcus,29
2012,male,black non hispanic,micah,29
2014,male,black non hispanic,cayden,29
2014,male,black non hispanic,joel,29
2015,male,black non hispanic,brandon,29
2015,male,black non hispanic,isaac,29
2015,male,black non hispanic,jaden,29
2011,male,black non hispanic,micah,29
2011,male,black non hispanic,robert,29
2011,male,black non hispanic,sean,29
2019,female,black non hispanic,grace,28
2011,female,asian and pacific islander,elaine,28
2017,female,black non hispanic,ariel,28
2017,female,black non hispanic,jayla,28
2017,female,black non hispanic,mariam,28
2017,female,black non hispanic,maya,28
2017,female,black non hispanic,nevaeh,28
2017,female,black non hispanic,taylor,28
2017,female,black non hispanic,zoey,28
2014,female,asian and pacific islander,arya,28
2014,female,asian and pacific islander,ayesha,28
2014,female,asian and pacific islander,eva,28
2014,female,asian and pacific islander,madison,28
2014,female,asian and pacific islander,melody,28
2014,female,asian and pacific islander,nicole,28
2015,female,black non hispanic,ariel,28
2015,female,black non hispanic,fatoumata,28
2015,female,black non hispanic,kennedy,28
2018,female,black non hispanic,aisha,28
2018,female,black non hispanic,gabriella,28
2018,female,black non hispanic,sarah,28
2014,female,black non hispanic,amelia,28
2014,female,black non hispanic,destiny,28
2014,female,black non hispanic,gabriella,28
2014,female,black non hispanic,paige,28
2014,female,black non hispanic,skyla,28
2016,female,asian and pacific islander,alice,28
2016,female,asian and pacific islander,rachel,28
2016,female,asian and pacific islander,sophie,28
2016,female,asian and pacific islander,zainab,28
2013,female,asian and pacific islander,angelina,28
2013,female,asian and pacific islander,eva,28
2013,female,asian and pacific islander,joy,28
2015,female,asian and pacific islander,anna,28
2015,female,asian and pacific islander,fiona,28
2015,female,asian and pacific islander,sophie,28
2015,female,asian and pacific islander,victoria,28
2016,female,black non hispanic,grace,28
2016,female,black non hispanic,jasmine,28
2016,female,black non hispanic,morgan,28
2016,female,black non hispanic,nyla,28
2017,female,asian and pacific islander,celine,28
2017,female,asian and pacific islander,inaaya,28
2017,female,asian and pacific islander,sophie,28
2017,female,asian and pacific islander,tiffany,28
2011,female,black non hispanic,imani,28
2011,female,black non hispanic,milan,28
2011,female,black non hispanic,trinity,28
2012,female,white non hispanic,eva,28
2012,female,white non hispanic,joyce,28
2012,female,white non hispanic,maya,28
2013,female,black non hispanic,aniyah,28
2013,female,black non hispanic,destiny,28
2013,female,black non hispanic,jade,28
2013,female,black non hispanic,malia,28
2013,female,black non hispanic,mariah,28
2013,female,black non hispanic,milan,28
2012,female,black non hispanic,hailey,28
2012,female,black non hispanic,jada,28
2019,female,hispanic,diana,28
2019,female,hispanic,kamila,28
2019,female,hispanic,kiara,28
2019,female,hispanic,lucia,28
2019,female,hispanic,rose,28
2017,female,hispanic,adriana,28
2017,female,hispanic,alice,28
2017,female,hispanic,andrea,28
2017,female,hispanic,ella,28
2017,female,hispanic,julia,28
2017,female,hispanic,kamila,28
2017,female,hispanic,lucia,28
2017,female,hispanic,natalia,28
2017,female,hispanic,samara,28
2018,female,hispanic,alana,28
2018,female,hispanic,diana,28
2018,female,hispanic,jazlyn,28
2018,female,hispanic,rose,28
2019,male,black non hispanic,jonathan,28
2018,male,black non hispanic,christopher,28
2018,male,black non hispanic,emmanuel,28
2018,male,black non hispanic,justin,28
2018,male,black non hispanic,mamadou,28
2018,male,black non hispanic,omari,28
2017,male,asian and pacific islander,joshua,28
2017,male,asian and pacific islander,michael,28
2017,male,black non hispanic,asher,28
2017,male,black non hispanic,kai,28
2011,male,asian and pacific islander,adam,28
2011,male,asian and pacific islander,david,28
2015,male,asian and pacific islander,abdullah,28
2015,male,asian and pacific islander,alan,28
2015,male,asian and pacific islander,alvin,28
2015,male,asian and pacific islander,joshua,28
2015,male,asian and pacific islander,oscar,28
2015,male,asian and pacific islander,samuel,28
2013,male,asian and pacific islander,logan,28
2014,male,asian and pacific islander,alan,28
2014,male,asian and pacific islander,marcus,28
2016,male,black non hispanic,austin,28
2016,male,black non hispanic,avery,28
2016,male,black non hispanic,kai,28
2016,male,black non hispanic,lucas,28
2016,male,black non hispanic,mamadou,28
2016,male,black non hispanic,micah,28
2016,male,black non hispanic,omari,28
2016,male,asian and pacific islander,adam,28
2016,male,asian and pacific islander,julian,28
2016,male,asian and pacific islander,theodore,28
2012,male,white non hispanic,abdullah,28
2012,male,black non hispanic,ibrahim,28
2012,male,white non hispanic,kingsley,28
2012,male,white non hispanic,steven,28
2012,male,white non hispanic,syed,28
2013,male,black non hispanic,austin,28
2013,male,black non hispanic,kaden,28
2014,male,black non hispanic,chance,28
2014,male,black non hispanic,isaac,28
2014,male,black non hispanic,jaden,28
2015,male,black non hispanic,james,28
2015,male,black non hispanic,sebastian,28
2011,male,black non hispanic,adam,28
2011,male,black non hispanic,kaiden,28
2011,male,black non hispanic,kevin,28
2019,female,black non hispanic,nyla,27
2019,female,black non hispanic,sophia,27
2011,female,asian and pacific islander,alice,27
2011,female,asian and pacific islander,catherine,27
2011,female,asian and pacific islander,claire,27
2011,female,asian and pacific islander,jenny,27
2011,female,asian and pacific islander,maya,27
2017,female,black non hispanic,ariah,27
2017,female,black non hispanic,avery,27
2017,female,black non hispanic,laila,27
2017,female,black non hispanic,michelle,27
2017,female,black non hispanic,sarah,27
2017,female,black non hispanic,victoria,27
2018,female,asian and pacific islander,abigail,27
2018,female,asian and pacific islander,stella,27
2018,female,asian and pacific islander,tenzin,27
2014,female,asian and pacific islander,abby,27
2014,female,asian and pacific islander,amelia,27
2015,female,black non hispanic,alyssa,27
2015,female,black non hispanic,aubrey,27
2015,female,black non hispanic,isabelle,27
2015,female,black non hispanic,naomi,27
2015,female,black non hispanic,sophia,27
2018,female,black non hispanic,hailey,27
2014,female,black non hispanic,amina,27
2014,female,black non hispanic,laila,27
2016,female,asian and pacific islander,amy,27
2016,female,asian and pacific islander,bella,27
2016,female,asian and pacific islander,phoebe,27
2013,female,asian and pacific islander,alyssa,27
2013,female,asian and pacific islander,ariana,27
2013,female,asian and pacific islander,iris,27
2015,female,asian and pacific islander,alina,27
2015,female,asian and pacific islander,aria,27
2015,female,asian and pacific islander,ashley,27
2015,female,asian and pacific islander,elena,27
2016,female,black non hispanic,aminata,27
2017,female,asian and pacific islander,anna,27
2017,female,asian and pacific islander,ellie,27
2017,female,asian and pacific islander,zoey,27
2011,female,black non hispanic,lauren,27
2011,female,black non hispanic,samantha,27
2012,female,white non hispanic,claire,27
2013,female,black non hispanic,arielle,27
2013,female,black non hispanic,kennedy,27
2013,female,black non hispanic,morgan,27
2013,female,black non hispanic,oumou,27
2013,female,black non hispanic,paige,27
2012,female,black non hispanic,amirah,27
2012,female,black non hispanic,aubrey,27
2012,female,black non hispanic,emma,27
2012,female,black non hispanic,jasmine,27
2012,female,black non hispanic,summer,27
2019,female,hispanic,alice,27
2019,female,hispanic,aliyah,27
2019,female,hispanic,gabriela,27
2019,female,hispanic,jazlyn,27
2019,female,hispanic,natalia,27
2018,male,asian and pacific islander,brandon,27
2018,male,asian and pacific islander,ivan,27
2018,male,asian and pacific islander,jack,27
2019,male,black non hispanic,alexander,27
2019,male,black non hispanic,jordan,27
2019,male,black non hispanic,malachi,27
2019,male,black non hispanic,nicholas,27
2019,male,black non hispanic,xavier,27
2018,male,black non hispanic,aaron,27
2019,male,asian and pacific islander,george,27
2019,male,asian and pacific islander,jeremy,27
2019,male,asian and pacific islander,nicholas,27
2019,male,asian and pacific islander,rayan,27
2019,male,asian and pacific islander,zayan,27
2019,male,asian and pacific islander,zayn,27
2017,male,asian and pacific islander,aidan,27
2017,male,asian and pacific islander,andrew,27
2017,male,asian and pacific islander,brian,27
2017,male,asian and pacific islander,david,27
2017,male,asian and pacific islander,kai,27
2017,male,asian and pacific islander,samuel,27
2017,male,black non hispanic,caleb,27
2017,male,black non hispanic,gabriel,27
2017,male,black non hispanic,jayceon,27
2017,male,black non hispanic,mamadou,27
2011,male,asian and pacific islander,arjun,27
2011,male,asian and pacific islander,gavin,27
2011,male,asian and pacific islander,owen,27
2011,male,asian and pacific islander,raymond,27
2015,male,asian and pacific islander,anthony,27
2015,male,asian and pacific islander,brian,27
2015,male,asian and pacific islander,max,27
2015,male,asian and pacific islander,nathaniel,27
2015,male,asian and pacific islander,rayan,27
2015,male,asian and pacific islander,tenzin,27
2013,male,asian and pacific islander,darren,27
2013,male,asian and pacific islander,max,27
2014,male,asian and pacific islander,oscar,27
2016,male,black non hispanic,chance,27
2016,male,black non hispanic,ibrahim,27
2016,male,black non hispanic,sebastian,27
2016,male,asian and pacific islander,arham,27
2016,male,asian and pacific islander,jaden,27
2016,male,asian and pacific islander,marcus,27
2016,male,asian and pacific islander,nicholas,27
2016,male,asian and pacific islander,rayan,27
2012,male,white non hispanic,adrian,27
2012,male,black non hispanic,austin,27
2012,male,white non hispanic,gabriel,27
2012,male,white non hispanic,oliver,27
2013,male,black non hispanic,aden,27
2013,male,black non hispanic,isaac,27
2013,male,black non hispanic,julian,27
2013,male,black non hispanic,nasir,27
2013,male,black non hispanic,zaire,27
2014,male,black non hispanic,joseph,27
2014,male,black non hispanic,kevin,27
2014,male,black non hispanic,malik,27
2015,male,black non hispanic,jayce,27
2011,male,black non hispanic,mamadou,27
2011,male,black non hispanic,william,27
2019,female,black non hispanic,aisha,26
2019,female,asian and pacific islander,alyssa,26
2019,female,asian and pacific islander,maya,26
2011,female,asian and pacific islander,alyssa,26
2011,female,asian and pacific islander,angelina,26
2011,female,asian and pacific islander,iris,26
2011,female,asian and pacific islander,jessica,26
2011,female,asian and pacific islander,selina,26
2011,female,asian and pacific islander,tenzin,26
2017,female,black non hispanic,autumn,26
2017,female,black non hispanic,layla,26
2018,female,asian and pacific islander,anna,26
2018,female,asian and pacific islander,audrey,26
2018,female,asian and pacific islander,sophie,26
2014,female,asian and pacific islander,aria,26
2014,female,asian and pacific islander,ellie,26
2014,female,asian and pacific islander,evelyn,26
2014,female,asian and pacific islander,julia,26
2015,female,black non hispanic,amiyah,26
2015,female,black non hispanic,elizabeth,26
2015,female,black non hispanic,hailey,26
2015,female,black non hispanic,sarai,26
2018,female,black non hispanic,amina,26
2018,female,black non hispanic,autumn,26
2018,female,black non hispanic,gabrielle,26
2014,female,black non hispanic,layla,26
2014,female,black non hispanic,londyn,26
2014,female,black non hispanic,milan,26
2014,female,black non hispanic,mya,26
2016,female,asian and pacific islander,annie,26
2016,female,asian and pacific islander,eva,26
2016,female,asian and pacific islander,kayla,26
2016,female,asian and pacific islander,maryam,26
2016,female,asian and pacific islander,zara,26
2013,female,asian and pacific islander,aleena,26
2013,female,asian and pacific islander,arya,26
2013,female,asian and pacific islander,fatima,26
2013,female,asian and pacific islander,winnie,26
2015,female,asian and pacific islander,arya,26
2015,female,asian and pacific islander,audrey,26
2015,female,asian and pacific islander,kaylee,26
2015,female,asian and pacific islander,stella,26
2016,female,black non hispanic,emily,26
2016,female,black non hispanic,lauren,26
2017,female,asian and pacific islander,anaya,26
2017,female,asian and pacific islander,annie,26
2017,female,asian and pacific islander,eva,26
2017,female,asian and pacific islander,iris,26
2017,female,asian and pacific islander,katherine,26
2011,female,black non hispanic,autumn,26
2011,female,black non hispanic,sanaa,26
2012,female,white non hispanic,catherine,26
2012,female,white non hispanic,jasmine,26
2012,female,white non hispanic,jenny,26
2012,female,white non hispanic,melody,26
2013,female,black non hispanic,chelsea,26
2013,female,black non hispanic,nylah,26
2013,female,black non hispanic,riley,26
2018,male,asian and pacific islander,alex,26
2018,male,asian and pacific islander,aryan,26
2018,male,asian and pacific islander,mohammed,26
2018,male,asian and pacific islander,musa,26
2019,male,black non hispanic,christopher,26
2019,male,black non hispanic,dylan,26
2019,male,black non hispanic,elias,26
2019,male,black non hispanic,gabriel,26
2019,male,black non hispanic,kenzo,26
2019,male,black non hispanic,micah,26
2019,male,black non hispanic,prince,26
2018,male,black non hispanic,william,26
2019,male,asian and pacific islander,caleb,26
2019,male,asian and pacific islander,max,26
2017,male,asian and pacific islander,alan,26
2017,male,asian and pacific islander,jaden,26
2017,male,asian and pacific islander,louis,26
2017,male,black non hispanic,emmanuel,26
2011,male,asian and pacific islander,nicholas,26
2011,male,asian and pacific islander,richard,26
2015,male,asian and pacific islander,anson,26
2015,male,asian and pacific islander,derek,26
2015,male,asian and pacific islander,jeffrey,26
2015,male,asian and pacific islander,richard,26
2015,male,asian and pacific islander,zachary,26
2013,male,asian and pacific islander,luke,26
2014,male,asian and pacific islander,adrian,26
2014,male,asian and pacific islander,allen,26
2014,male,asian and pacific islander,john,26
2014,male,asian and pacific islander,lawrence,26
2014,male,asian and pacific islander,luke,26
2016,male,black non hispanic,joseph,26
2016,male,asian and pacific islander,david,26
2012,male,white non hispanic,darren,26
2012,male,white non hispanic,jack,26
2012,male,black non hispanic,joel,26
2012,male,white non hispanic,john,26
2012,male,black non hispanic,julian,26
2012,male,black non hispanic,zachary,26
2013,male,black non hispanic,eli,26
2015,male,black non hispanic,adam,26
2015,male,black non hispanic,austin,26
2011,male,black non hispanic,evan,26
2019,female,black non hispanic,kylie,25
2019,female,black non hispanic,miracle,25
2019,female,black non hispanic,wynter,25
2011,female,asian and pacific islander,alina,25
2011,female,asian and pacific islander,ella,25
2011,female,asian and pacific islander,sophie,25
2011,female,asian and pacific islander,winnie,25
2011,female,asian and pacific islander,zoe,25
2017,female,black non hispanic,amaya,25
2017,female,black non hispanic,aminata,25
2017,female,black non hispanic,amira,25
2017,female,black non hispanic,dakota,25
2017,female,black non hispanic,harmony,25
2017,female,black non hispanic,jade,25
2017,female,black non hispanic,leilani,25
2017,female,black non hispanic,peyton,25
2018,female,asian and pacific islander,annie,25
2018,female,asian and pacific islander,ellie,25
2018,female,asian and pacific islander,hailey,25
2018,female,asian and pacific islander,maryam,25
2014,female,asian and pacific islander,cindy,25
2014,female,asian and pacific islander,leah,25
2014,female,asian and pacific islander,maya,25
2014,female,asian and pacific islander,mila,25
2014,female,asian and pacific islander,victoria,25
2015,female,black non hispanic,amina,25
2015,female,black non hispanic,laila,25
2015,female,black non hispanic,leilani,25
2015,female,black non hispanic,nylah,25
2018,female,black non hispanic,amiyah,25
2014,female,black non hispanic,avery,25
2014,female,black non hispanic,elizabeth,25
2014,female,black non hispanic,heaven,25
2014,female,black non hispanic,jasmine,25
2014,female,black non hispanic,jayla,25
2014,female,black non hispanic,kennedy,25
2016,female,asian and pacific islander,aisha,25
2016,female,asian and pacific islander,angelina,25
2016,female,asian and pacific islander,ellie,25
2016,female,asian and pacific islander,tiffany,25
2013,female,asian and pacific islander,aria,25
2013,female,asian and pacific islander,kayla,25
2013,female,asian and pacific islander,lily,25
2013,female,asian and pacific islander,natalie,25
2015,female,asian and pacific islander,ariana,25
2015,female,asian and pacific islander,ellie,25
2015,female,asian and pacific islander,madison,25
2015,female,asian and pacific islander,sofia,25
2015,female,asian and pacific islander,tenzin,25
2016,female,black non hispanic,ariah,25
2016,female,black non hispanic,hailey,25
2016,female,black non hispanic,layla,25
2016,female,black non hispanic,miracle,25
2016,female,black non hispanic,sarah,25
2011,female,black non hispanic,aminata,25
2011,female,black non hispanic,kaylee,25
2011,female,black non hispanic,londyn,25
2011,female,black non hispanic,maya,25
2011,female,black non hispanic,mckenzie,25
2012,female,white non hispanic,annie,25
2012,female,white non hispanic,vicky,25
2012,female,white non hispanic,victoria,25
2012,female,black non hispanic,alana,25
2012,female,black non hispanic,gabriella,25
2012,female,black non hispanic,heaven,25
2012,female,black non hispanic,jayla,25
2012,female,black non hispanic,kennedy,25
2012,female,black non hispanic,paige,25
2013,female,black non hispanic,aubrey,25
2013,female,black non hispanic,emma,25
2018,male,asian and pacific islander,abdullah,25
2018,male,asian and pacific islander,connor,25
2018,male,asian and pacific islander,marcus,25
2018,male,asian and pacific islander,syed,25
2019,male,black non hispanic,jaxon,25
2018,male,black non hispanic,alexander,25
2018,male,black non hispanic,asher,25
2018,male,black non hispanic,levi,25
2018,male,black non hispanic,nicholas,25
2019,male,asian and pacific islander,leon,25
2019,male,asian and pacific islander,vincent,25
2017,male,asian and pacific islander,aryan,25
2017,male,asian and pacific islander,gavin,25
2017,male,asian and pacific islander,raymond,25
2017,male,black non hispanic,zachary,25
2011,male,asian and pacific islander,jeffrey,25
2011,male,asian and pacific islander,jerry,25
2011,male,asian and pacific islander,liam,25
2011,male,asian and pacific islander,oscar,25
2013,male,asian and pacific islander,aidan,25
2013,male,asian and pacific islander,ayan,25
2013,male,asian and pacific islander,ibrahim,25
2013,male,asian and pacific islander,isaac,25
2013,male,asian and pacific islander,john,25
2013,male,asian and pacific islander,tenzin,25
2014,male,asian and pacific islander,zachary,25
2016,male,black non hispanic,nicholas,25
2016,male,asian and pacific islander,aidan,25
2016,male,asian and pacific islander,alan,25
2016,male,asian and pacific islander,anthony,25
2016,male,asian and pacific islander,raymond,25
2016,male,asian and pacific islander,sean,25
2016,male,asian and pacific islander,zachary,25
2012,male,white non hispanic,anson,25
2012,male,black non hispanic,chance,25
2012,male,white non hispanic,gavin,25
2012,male,white non hispanic,isaac,25
2012,male,white non hispanic,logan,25
2012,male,white non hispanic,luke,25
2012,male,black non hispanic,malik,25
2012,male,white non hispanic,thomas,25
2013,male,black non hispanic,blake,25
2013,male,black non hispanic,jaylen,25
2015,male,black non hispanic,bryce,25
2015,male,black non hispanic,kevin,25
2011,male,black non hispanic,ibrahim,25
2011,male,black non hispanic,logan,25
2019,female,black non hispanic,autumn,24
2019,female,black non hispanic,kayla,24
2019,female,black non hispanic,kehlani,24
2019,female,black non hispanic,reign,24
2019,female,black non hispanic,savannah,24
2019,female,asian and pacific islander,alice,24
2019,female,asian and pacific islander,celine,24
2019,female,asian and pacific islander,emilia,24
2019,female,asian and pacific islander,inaaya,24
2019,female,asian and pacific islander,jasmine,24
2019,female,asian and pacific islander,riley,24
2019,female,asian and pacific islander,sofia,24
2019,female,asian and pacific islander,tenzin,24
2019,female,asian and pacific islander,zoey,24
2011,female,asian and pacific islander,abigail,24
2011,female,asian and pacific islander,amy,24
2011,female,asian and pacific islander,fatima,24
2011,female,asian and pacific islander,julia,24
2011,female,asian and pacific islander,sara,24
2017,female,black non hispanic,amina,24
2017,female,black non hispanic,chelsea,24
2017,female,black non hispanic,hawa,24
2017,female,black non hispanic,kayla,24
2017,female,black non hispanic,nylah,24
2018,female,asian and pacific islander,anaya,24
2018,female,asian and pacific islander,sofia,24
2018,female,asian and pacific islander,victoria,24
2014,female,asian and pacific islander,alice,24
2014,female,asian and pacific islander,rachel,24
2014,female,asian and pacific islander,serena,24
2014,female,asian and pacific islander,zainab,24
2014,female,asian and pacific islander,zoey,24
2015,female,black non hispanic,lauren,24
2015,female,black non hispanic,paige,24
2018,female,black non hispanic,maya,24
2018,female,black non hispanic,nylah,24
2018,female,black non hispanic,taylor,24
2014,female,black non hispanic,alyssa,24
2014,female,black non hispanic,ariana,24
2014,female,black non hispanic,brianna,24
2014,female,black non hispanic,imani,24
2014,female,black non hispanic,kaitlyn,24
2014,female,black non hispanic,kaylee,24
2014,female,black non hispanic,skylah,24
2016,female,asian and pacific islander,avery,24
2016,female,asian and pacific islander,jasmine,24
2016,female,asian and pacific islander,katherine,24
2016,female,asian and pacific islander,natalie,24
2016,female,asian and pacific islander,riley,24
2013,female,asian and pacific islander,bella,24
2013,female,asian and pacific islander,elizabeth,24
2013,female,asian and pacific islander,zainab,24
2013,female,asian and pacific islander,zoey,24
2017,female,asian and pacific islander,angelina,24
2017,female,asian and pacific islander,ayesha,24
2017,female,asian and pacific islander,tenzin,24
2017,female,asian and pacific islander,victoria,24
2015,female,asian and pacific islander,abby,24
2015,female,asian and pacific islander,annie,24
2015,female,asian and pacific islander,catherine,24
2015,female,asian and pacific islander,elizabeth,24
2016,female,black non hispanic,amina,24
2016,female,black non hispanic,amiyah,24
2016,female,black non hispanic,emma,24
2016,female,black non hispanic,nylah,24
2011,female,black non hispanic,fatima,24
2011,female,black non hispanic,gabriella,24
2011,female,black non hispanic,hannah,24
2011,female,black non hispanic,sydney,24
2012,female,white non hispanic,kaylee,24
2012,female,white non hispanic,rachel,24
2012,female,white non hispanic,sara,24
2012,female,white non hispanic,sofia,24
2012,female,black non hispanic,mariama,24
2012,female,black non hispanic,morgan,24
2013,female,black non hispanic,brianna,24
2013,female,black non hispanic,brooke,24
2013,female,black non hispanic,layla,24
2013,female,black non hispanic,sophia,24
2018,male,asian and pacific islander,leon,24
2019,male,black non hispanic,kai,24
2019,male,black non hispanic,matthew,24
2019,male,black non hispanic,sebastian,24
2019,male,asian and pacific islander,adrian,24
2019,male,asian and pacific islander,alex,24
2019,male,asian and pacific islander,alvin,24
2017,male,asian and pacific islander,darren,24
2017,male,asian and pacific islander,hudson,24
2017,male,asian and pacific islander,jackson,24
2017,male,asian and pacific islander,joseph,24
2015,male,asian and pacific islander,bryan,24
2015,male,asian and pacific islander,christopher,24
2015,male,asian and pacific islander,connor,24
2015,male,asian and pacific islander,darren,24
2017,male,black non hispanic,ezekiel,24
2017,male,black non hispanic,nicholas,24
2017,male,black non hispanic,zaire,24
2011,male,asian and pacific islander,ayden,24
2011,male,asian and pacific islander,tenzin,24
2013,male,asian and pacific islander,alan,24
2013,male,asian and pacific islander,allen,24
2013,male,asian and pacific islander,aryan,24
2013,male,asian and pacific islander,bryan,24
2013,male,asian and pacific islander,charles,24
2013,male,asian and pacific islander,derek,24
2013,male,asian and pacific islander,gavin,24
2013,male,asian and pacific islander,marcus,24
2014,male,asian and pacific islander,ibrahim,24
2014,male,asian and pacific islander,kimi,24
2014,male,asian and pacific islander,logan,24
2014,male,asian and pacific islander,rayyan,24
2016,male,black non hispanic,james,24
2016,male,asian and pacific islander,connor,24
2016,male,asian and pacific islander,derek,24
2016,male,asian and pacific islander,kyson,24
2016,male,asian and pacific islander,oscar,24
2016,male,asian and pacific islander,rohan,24
2014,male,black non hispanic,adam,24
2014,male,black non hispanic,samuel,24
2012,male,black non hispanic,adrian,24
2012,male,black non hispanic,benjamin,24
2012,male,black non hispanic,blake,24
2012,male,black non hispanic,ian,24
2012,male,white non hispanic,nathaniel,24
2013,male,black non hispanic,giovanni,24
2015,male,black non hispanic,omari,24
2011,male,black non hispanic,devin,24
2011,male,black non hispanic,malik,24
2011,male,black non hispanic,marcus,24
2011,male,black non hispanic,sincere,24
2019,female,black non hispanic,abigail,23
2019,female,black non hispanic,aminata,23
2019,female,black non hispanic,amira,23
2019,female,black non hispanic,harmony,23
2019,female,black non hispanic,leilani,23
2019,female,black non hispanic,naomi,23
2019,female,black non hispanic,zoe,23
2019,female,asian and pacific islander,alina,23
2019,female,asian and pacific islander,fiona,23
2019,female,asian and pacific islander,joanna,23
2011,female,asian and pacific islander,ava,23
2011,female,asian and pacific islander,hannah,23
2011,female,asian and pacific islander,sabrina,23
2011,female,asian and pacific islander,zainab,23
2017,female,black non hispanic,ella,23
2017,female,black non hispanic,grace,23
2017,female,black non hispanic,imani,23
2018,female,asian and pacific islander,zara,23
2014,female,asian and pacific islander,elsa,23
2014,female,asian and pacific islander,fatima,23
2014,female,asian and pacific islander,hailey,23
2014,female,asian and pacific islander,isabelle,23
2014,female,asian and pacific islander,kayla,23
2015,female,black non hispanic,isabella,23
2015,female,black non hispanic,jada,23
2015,female,black non hispanic,kali,23
2015,female,black non hispanic,maya,23
2018,female,black non hispanic,grace,23
2018,female,black non hispanic,kayla,23
2018,female,black non hispanic,mariama,23
2018,female,black non hispanic,naomi,23
2018,female,black non hispanic,paris,23
2018,female,black non hispanic,sarai,23
2018,female,black non hispanic,victoria,23
2014,female,black non hispanic,aicha,23
2014,female,black non hispanic,aliyah,23
2014,female,black non hispanic,eliana,23
2014,female,black non hispanic,emma,23
2014,female,black non hispanic,zoe,23
2016,female,asian and pacific islander,aleena,23
2016,female,asian and pacific islander,alexandra,23
2016,female,asian and pacific islander,cynthia,23
2016,female,asian and pacific islander,elena,23
2016,female,asian and pacific islander,hailey,23
2016,female,asian and pacific islander,madison,23
2016,female,asian and pacific islander,michelle,23
2013,female,asian and pacific islander,catherine,23
2013,female,asian and pacific islander,jessica,23
2013,female,asian and pacific islander,kaitlyn,23
2013,female,asian and pacific islander,maggie,23
2013,female,asian and pacific islander,maya,23
2013,female,asian and pacific islander,sara,23
2013,female,asian and pacific islander,tiffany,23
2017,female,asian and pacific islander,amy,23
2017,female,asian and pacific islander,harper,23
2017,female,asian and pacific islander,jasmine,23
2017,female,asian and pacific islander,madison,23
2015,female,asian and pacific islander,ayesha,23
2016,female,black non hispanic,ariana,23
2016,female,black non hispanic,bella,23
2016,female,black non hispanic,chelsea,23
2016,female,black non hispanic,elizabeth,23
2016,female,black non hispanic,heaven,23
2011,female,black non hispanic,aliyah,23
2011,female,black non hispanic,kimora,23
2012,female,white non hispanic,amy,23
2012,female,white non hispanic,erica,23
2012,female,white non hispanic,irene,23
2012,female,white non hispanic,jennifer,23
2012,female,black non hispanic,arielle,23
2012,female,black non hispanic,kimora,23
2012,female,black non hispanic,melanie,23
2012,female,black non hispanic,milan,23
2012,female,black non hispanic,riley,23
2012,female,black non hispanic,sophia,23
2013,female,black non hispanic,ariana,23
2013,female,black non hispanic,elizabeth,23
2013,female,black non hispanic,skyla,23
2018,male,asian and pacific islander,allen,23
2018,male,black non hispanic,avery,23
2018,male,black non hispanic,james,23
2018,male,black non hispanic,jaxon,23
2018,male,black non hispanic,matthew,23
2019,male,black non hispanic,levi,23
2019,male,asian and pacific islander,andy,23
2019,male,asian and pacific islander,jackson,23
2019,male,asian and pacific islander,marcus,23
2017,male,asian and pacific islander,abdullah,23
2017,male,asian and pacific islander,bryan,23
2017,male,asian and pacific islander,musa,23
2017,male,asian and pacific islander,nicholas,23
2017,male,asian and pacific islander,syed,23
2015,male,asian and pacific islander,kai,23
2015,male,asian and pacific islander,logan,23
2015,male,asian and pacific islander,luke,23
2017,male,black non hispanic,adonis,23
2017,male,black non hispanic,benjamin,23
2011,male,asian and pacific islander,jaden,23
2011,male,asian and pacific islander,jordan,23
2011,male,asian and pacific islander,stanley,23
2011,male,asian and pacific islander,wilson,23
2013,male,asian and pacific islander,adrian,23
2013,male,asian and pacific islander,connor,23
2013,male,asian and pacific islander,felix,23
2013,male,asian and pacific islander,joseph,23
2013,male,asian and pacific islander,kingsley,23
2013,male,asian and pacific islander,syed,23
2014,male,asian and pacific islander,anson,23
2014,male,asian and pacific islander,benson,23
2014,male,asian and pacific islander,caleb,23
2014,male,asian and pacific islander,nathaniel,23
2014,male,asian and pacific islander,roy,23
2016,male,black non hispanic,maison,23
2016,male,asian and pacific islander,ayden,23
2016,male,asian and pacific islander,jackson,23
2016,male,asian and pacific islander,luke,23
2016,male,asian and pacific islander,tyler,23
2014,male,black non hispanic,avery,23
2014,male,black non hispanic,kyrie,23
2014,male,black non hispanic,mamadou,23
2014,male,black non hispanic,mekhi,23
