==Frequent itemsets (min_sup=0.1%)==
('hispanic', 'male')	 supp: 17.35%
('ava', 'black non hispanic', 'female')	 supp: 0.19%
('2015', 'ethan')	 supp: 0.19%
('2015', 'ethan', 'male')	 supp: 0.19%
('male', 'yehuda')	 supp: 0.19%
('menachem', 'white non hispanic')	 supp: 0.19%
('male', 'menachem', 'white non hispanic')	 supp: 0.19%
('hispanic', 'nicholas')	 supp: 0.19%
('hispanic', 'male', 'nicholas')	 supp: 0.19%
('2019', 'liam')	 supp: 0.19%
('allison', 'hispanic')	 supp: 0.19%
('2019', 'liam', 'male')	 supp: 0.19%
('allison', 'female', 'hispanic')	 supp: 0.19%
('hispanic', 'scarlett')	 supp: 0.18%
('female', 'hispanic', 'scarlett')	 supp: 0.18%
('andrew', 'hispanic')	 supp: 0.18%
('mordechai', 'white non hispanic')	 supp: 0.18%
('andrew', 'hispanic', 'male')	 supp: 0.18%
('male', 'mordechai', 'white non hispanic')	 supp: 0.18%
('brianna', 'hispanic')	 supp: 0.18%
('brianna', 'female', 'hispanic')	 supp: 0.18%
('white non hispanic', 'zoe')	 supp: 0.18%
('female', 'white non hispanic', 'zoe')	 supp: 0.18%
('hispanic', 'james')	 supp: 0.18%
('kayden', 'male')	 supp: 0.18%
('hispanic', 'james', 'male')	 supp: 0.18%
('male', 'nathaniel')	 supp: 0.18%
('2014', 'ethan')	 supp: 0.18%
('2014', 'ethan', 'male')	 supp: 0.18%
('amelia', 'white non hispanic')	 supp: 0.18%
('luca', 'white non hispanic')	 supp: 0.18%
('amelia', 'female', 'white non hispanic')	 supp: 0.18%
('luca', 'male', 'white non hispanic')	 supp: 0.18%
('2012', 'ethan')	 supp: 0.18%
('carlos', 'male')	 supp: 0.18%
('carlos', 'hispanic')	 supp: 0.18%
('hispanic', 'zoe')	 supp: 0.18%
('2012', 'ethan', 'male')	 supp: 0.18%
('carlos', 'hispanic', 'male')	 supp: 0.18%
('female', 'hispanic', 'zoe')	 supp: 0.18%
('2017', 'liam')	 supp: 0.18%
('2012', 'jayden')	 supp: 0.18%
('2017', 'liam', 'male')	 supp: 0.18%
('2012', 'jayden', 'male')	 supp: 0.18%
('angelina', 'female')	 supp: 0.18%
('alexandra', 'white non hispanic')	 supp: 0.18%
('female', 'savannah')	 supp: 0.18%
('alexandra', 'female', 'white non hispanic')	 supp: 0.18%
('female', 'gitty')	 supp: 0.18%
('austin', 'male')	 supp: 0.18%
('2013', 'jayden')	 supp: 0.18%
('2013', 'jayden', 'male')	 supp: 0.18%
('lily', 'white non hispanic')	 supp: 0.18%
('female', 'lily', 'white non hispanic')	 supp: 0.18%
('grace', 'white non hispanic')	 supp: 0.18%
('female', 'grace', 'white non hispanic')	 supp: 0.18%
('anna', 'white non hispanic')	 supp: 0.18%
('anna', 'female', 'white non hispanic')	 supp: 0.18%
('eric', 'male')	 supp: 0.18%
('2016', 'liam')	 supp: 0.17%
('2011', 'jacob')	 supp: 0.17%
('2016', 'liam', 'male')	 supp: 0.17%
('2011', 'jacob', 'male')	 supp: 0.17%
('asian and pacific islander', 'william')	 supp: 0.17%
('asian and pacific islander', 'male', 'william')	 supp: 0.17%
('black non hispanic', 'michael')	 supp: 0.17%
('black non hispanic', 'male', 'michael')	 supp: 0.17%
('2015', 'liam')	 supp: 0.17%
('2015', 'liam', 'male')	 supp: 0.17%
('female', 'naomi')	 supp: 0.17%
('2016', 'jacob')	 supp: 0.17%
('2016', 'jacob', 'male')	 supp: 0.17%
('2013', 'ethan')	 supp: 0.17%
('2013', 'ethan', 'male')	 supp: 0.17%
('ariana', 'hispanic')	 supp: 0.17%
('ariana', 'female', 'hispanic')	 supp: 0.17%
('2016', 'ethan')	 supp: 0.17%
('asian and pacific islander', 'liam')	 supp: 0.17%
('2016', 'ethan', 'male')	 supp: 0.17%
('asian and pacific islander', 'liam', 'male')	 supp: 0.17%
('asian and pacific islander', 'mia')	 supp: 0.17%
('asian and pacific islander', 'female', 'mia')	 supp: 0.17%
('male', 'yisroel')	 supp: 0.17%
('female', 'luna')	 supp: 0.17%
('mason', 'white non hispanic')	 supp: 0.17%
('male', 'robert')	 supp: 0.17%
('male', 'mason', 'white non hispanic')	 supp: 0.17%
('female', 'kylie')	 supp: 0.17%
('2011', 'ethan')	 supp: 0.17%
('2011', 'ethan', 'male')	 supp: 0.17%
('2014', 'jacob')	 supp: 0.17%
('faigy', 'female')	 supp: 0.17%
('2014', 'jacob', 'male')	 supp: 0.17%
('victoria', 'white non hispanic')	 supp: 0.17%
('female', 'victoria', 'white non hispanic')	 supp: 0.17%
('white non hispanic', 'yehuda')	 supp: 0.17%
('julian', 'white non hispanic')	 supp: 0.17%
('male', 'white non hispanic', 'yehuda')	 supp: 0.17%
('julian', 'male', 'white non hispanic')	 supp: 0.17%
('female', 'kimberly')	 supp: 0.17%
('jaden', 'male')	 supp: 0.17%
('hannah', 'white non hispanic')	 supp: 0.17%
('female', 'malka')	 supp: 0.17%
('asher', 'male')	 supp: 0.17%
('female', 'hannah', 'white non hispanic')	 supp: 0.17%
('asian and pacific islander', 'matthew')	 supp: 0.16%
('asian and pacific islander', 'male', 'matthew')	 supp: 0.16%
('nathan', 'white non hispanic')	 supp: 0.16%
('male', 'nathan', 'white non hispanic')	 supp: 0.16%
('2019', 'noah')	 supp: 0.16%
('2019', 'male', 'noah')	 supp: 0.16%
('2013', 'jacob')	 supp: 0.16%
('2013', 'jacob', 'male')	 supp: 0.16%
('2015', 'noah')	 supp: 0.16%
('2015', 'male', 'noah')	 supp: 0.16%
('julia', 'white non hispanic')	 supp: 0.16%
('female', 'julia', 'white non hispanic')	 supp: 0.16%
('emilia', 'female')	 supp: 0.16%
('2018', 'noah')	 supp: 0.16%
('female', 'michelle')	 supp: 0.16%
('2018', 'male', 'noah')	 supp: 0.16%
('gitty', 'white non hispanic')	 supp: 0.16%
('female', 'gitty', 'white non hispanic')	 supp: 0.16%
('aiden', 'white non hispanic')	 supp: 0.16%
('aiden', 'male', 'white non hispanic')	 supp: 0.16%
('2015', 'jacob')	 supp: 0.16%
('white non hispanic', 'zachary')	 supp: 0.16%
('2015', 'jacob', 'male')	 supp: 0.16%
('male', 'white non hispanic', 'zachary')	 supp: 0.16%
('2012', 'jacob')	 supp: 0.16%
('2012', 'jacob', 'male')	 supp: 0.16%
('emmanuel', 'male')	 supp: 0.16%
('2017', 'noah')	 supp: 0.16%
('2017', 'male', 'noah')	 supp: 0.16%
('alyssa', 'female')	 supp: 0.16%
('hispanic', 'kaylee')	 supp: 0.16%
('female', 'hispanic', 'kaylee')	 supp: 0.16%
('carter', 'male')	 supp: 0.16%
('eleanor', 'female')	 supp: 0.16%
('2017', 'jacob')	 supp: 0.16%
('2017', 'jacob', 'male')	 supp: 0.16%
('alexander', 'asian and pacific islander')	 supp: 0.16%
('ayden', 'hispanic')	 supp: 0.16%
('hispanic', 'kimberly')	 supp: 0.16%
('jackson', 'white non hispanic')	 supp: 0.16%
('eliana', 'female')	 supp: 0.16%
('alexander', 'asian and pacific islander', 'male')	 supp: 0.16%
('ayden', 'hispanic', 'male')	 supp: 0.16%
('female', 'hispanic', 'kimberly')	 supp: 0.16%
('jackson', 'male', 'white non hispanic')	 supp: 0.16%
('kyle', 'male')	 supp: 0.16%
('2013', 'daniel')	 supp: 0.16%
('2013', 'daniel', 'male')	 supp: 0.16%
('2013', 'sophia')	 supp: 0.16%
('2013', 'female', 'sophia')	 supp: 0.16%
('2014', 'liam')	 supp: 0.16%
('2012', 'daniel')	 supp: 0.16%
('2014', 'liam', 'male')	 supp: 0.16%
('2012', 'daniel', 'male')	 supp: 0.16%
('alexa', 'hispanic')	 supp: 0.16%
('alexa', 'female', 'hispanic')	 supp: 0.16%
('2016', 'noah')	 supp: 0.16%
('female', 'malky')	 supp: 0.16%
('2016', 'male', 'noah')	 supp: 0.16%
('black non hispanic', 'carter')	 supp: 0.15%
('black non hispanic', 'christian')	 supp: 0.15%
('black non hispanic', 'carter', 'male')	 supp: 0.15%
('black non hispanic', 'christian', 'male')	 supp: 0.15%
('female', 'katherine')	 supp: 0.15%
('asian and pacific islander', 'jacob')	 supp: 0.15%
('asian and pacific islander', 'jacob', 'male')	 supp: 0.15%
('amy', 'hispanic')	 supp: 0.15%
('amy', 'female', 'hispanic')	 supp: 0.15%
('hispanic', 'samuel')	 supp: 0.15%
('hispanic', 'male', 'samuel')	 supp: 0.15%
('female', 'jade')	 supp: 0.15%
('george', 'male')	 supp: 0.15%
('malka', 'white non hispanic')	 supp: 0.15%
('female', 'malka', 'white non hispanic')	 supp: 0.15%
('2012', 'sophia')	 supp: 0.15%
('2012', 'female', 'sophia')	 supp: 0.15%
('faigy', 'white non hispanic')	 supp: 0.15%
('faigy', 'female', 'white non hispanic')	 supp: 0.15%
('2011', 'matthew')	 supp: 0.15%
('female', 'khloe')	 supp: 0.15%
('2011', 'male', 'matthew')	 supp: 0.15%
('2011', 'michael')	 supp: 0.15%
('2011', 'male', 'michael')	 supp: 0.15%
('2011', 'daniel')	 supp: 0.15%
('sebastian', 'white non hispanic')	 supp: 0.15%
('2011', 'daniel', 'male')	 supp: 0.15%
('male', 'sebastian', 'white non hispanic')	 supp: 0.15%
('white non hispanic', 'yisroel')	 supp: 0.15%
('male', 'white non hispanic', 'yisroel')	 supp: 0.15%
('2011', 'isabella')	 supp: 0.15%
('2011', 'female', 'isabella')	 supp: 0.15%
('2012', 'matthew')	 supp: 0.15%
('hispanic', 'xavier')	 supp: 0.15%
('2012', 'male', 'matthew')	 supp: 0.15%
('hispanic', 'male', 'xavier')	 supp: 0.15%
('2014', 'noah')	 supp: 0.15%
('2015', 'olivia')	 supp: 0.15%
('black non hispanic', 'isaiah')	 supp: 0.15%
('2014', 'male', 'noah')	 supp: 0.15%
('2015', 'female', 'olivia')	 supp: 0.15%
('black non hispanic', 'isaiah', 'male')	 supp: 0.15%
('2013', 'isabella')	 supp: 0.15%
('aaron', 'white non hispanic')	 supp: 0.15%
('2013', 'female', 'isabella')	 supp: 0.15%
('aaron', 'male', 'white non hispanic')	 supp: 0.15%
('female', 'maria')	 supp: 0.15%
('gabriella', 'hispanic')	 supp: 0.15%
('stella', 'white non hispanic')	 supp: 0.15%
('female', 'gabriella', 'hispanic')	 supp: 0.15%
('female', 'stella', 'white non hispanic')	 supp: 0.15%
('2012', 'michael')	 supp: 0.15%
('2012', 'male', 'michael')	 supp: 0.15%
('2013', 'david')	 supp: 0.15%
('hispanic', 'nathan')	 supp: 0.15%
('2013', 'david', 'male')	 supp: 0.15%
('hispanic', 'male', 'nathan')	 supp: 0.15%
('2012', 'aiden')	 supp: 0.15%
('2012', 'aiden', 'male')	 supp: 0.15%
('arianna', 'hispanic')	 supp: 0.15%
('arianna', 'female', 'hispanic')	 supp: 0.15%
('sophie', 'white non hispanic')	 supp: 0.14%
('female', 'sophie', 'white non hispanic')	 supp: 0.14%
('2014', 'sophia')	 supp: 0.14%
('2014', 'female', 'sophia')	 supp: 0.14%
('asian and pacific islander', 'isabella')	 supp: 0.14%
('gabriella', 'white non hispanic')	 supp: 0.14%
('asian and pacific islander', 'female', 'isabella')	 supp: 0.14%
('female', 'gabriella', 'white non hispanic')	 supp: 0.14%
('2014', 'jayden')	 supp: 0.14%
('black non hispanic', 'tyler')	 supp: 0.14%
('2014', 'jayden', 'male')	 supp: 0.14%
('black non hispanic', 'male', 'tyler')	 supp: 0.14%
('2012', 'david')	 supp: 0.14%
('asian and pacific islander', 'jason')	 supp: 0.14%
('2012', 'david', 'male')	 supp: 0.14%
('asian and pacific islander', 'jason', 'male')	 supp: 0.14%
('female', 'raizy')	 supp: 0.14%
('asian and pacific islander', 'evan')	 supp: 0.14%
('asian and pacific islander', 'evan', 'male')	 supp: 0.14%
('2014', 'daniel')	 supp: 0.14%
('2014', 'daniel', 'male')	 supp: 0.14%
('male', 'steven')	 supp: 0.14%
('joel', 'male')	 supp: 0.14%
('2014', 'michael')	 supp: 0.14%
('2014', 'male', 'michael')	 supp: 0.14%
('2015', 'matthew')	 supp: 0.14%
('2015', 'male', 'matthew')	 supp: 0.14%
('2017', 'emma')	 supp: 0.14%
('2013', 'noah')	 supp: 0.14%
('hispanic', 'luna')	 supp: 0.14%
('2017', 'emma', 'female')	 supp: 0.14%
('2013', 'male', 'noah')	 supp: 0.14%
('female', 'hispanic', 'luna')	 supp: 0.14%
('elizabeth', 'hispanic')	 supp: 0.14%
('elizabeth', 'female', 'hispanic')	 supp: 0.14%
('2016', 'olivia')	 supp: 0.14%
('2012', 'ryan')	 supp: 0.14%
('2016', 'female', 'olivia')	 supp: 0.14%
('2012', 'male', 'ryan')	 supp: 0.14%
('2012', 'isabella')	 supp: 0.14%
('asian and pacific islander', 'eric')	 supp: 0.14%
('2012', 'female', 'isabella')	 supp: 0.14%
('asian and pacific islander', 'eric', 'male')	 supp: 0.14%
('black non hispanic', 'logan')	 supp: 0.14%
('malky', 'white non hispanic')	 supp: 0.14%
('female', 'malky', 'white non hispanic')	 supp: 0.14%
('caleb', 'male')	 supp: 0.14%
('2014', 'isabella')	 supp: 0.14%
('2014', 'female', 'isabella')	 supp: 0.14%
('2011', 'sophia')	 supp: 0.14%
('chloe', 'hispanic')	 supp: 0.14%
('2011', 'female', 'sophia')	 supp: 0.14%
('chloe', 'female', 'hispanic')	 supp: 0.14%
('2018', 'ethan')	 supp: 0.14%
('2018', 'ethan', 'male')	 supp: 0.14%
('asian and pacific islander', 'mason')	 supp: 0.14%
('asian and pacific islander', 'male', 'mason')	 supp: 0.14%
('2016', 'sophia')	 supp: 0.14%
('2016', 'female', 'sophia')	 supp: 0.14%
('2011', 'david')	 supp: 0.14%
('asian and pacific islander', 'noah')	 supp: 0.14%
('2011', 'david', 'male')	 supp: 0.14%
('asian and pacific islander', 'male', 'noah')	 supp: 0.14%
('male', 'yitzchok')	 supp: 0.14%
('fatima', 'female')	 supp: 0.14%
('2015', 'david')	 supp: 0.14%
('2015', 'david', 'male')	 supp: 0.14%
('2012', 'alexander')	 supp: 0.14%
('female', 'skylar')	 supp: 0.14%
('madison', 'white non hispanic')	 supp: 0.14%
('2012', 'alexander', 'male')	 supp: 0.14%
('black non hispanic', 'logan', 'male')	 supp: 0.14%
('female', 'madison', 'white non hispanic')	 supp: 0.14%
('2015', 'jayden')	 supp: 0.14%
('female', 'rivky')	 supp: 0.14%
('2015', 'jayden', 'male')	 supp: 0.14%
('2013', 'michael')	 supp: 0.13%
('2018', 'jacob')	 supp: 0.13%
('asian and pacific islander', 'james')	 supp: 0.13%
('2017', 'ethan')	 supp: 0.13%
('2013', 'male', 'michael')	 supp: 0.13%
('2018', 'jacob', 'male')	 supp: 0.13%
('asian and pacific islander', 'james', 'male')	 supp: 0.13%
('2017', 'ethan', 'male')	 supp: 0.13%
('aaron', 'asian and pacific islander')	 supp: 0.13%
('aaron', 'asian and pacific islander', 'male')	 supp: 0.13%
('2014', 'alexander')	 supp: 0.13%
('asian and pacific islander', 'benjamin')	 supp: 0.13%
('2014', 'alexander', 'male')	 supp: 0.13%
('asian and pacific islander', 'benjamin', 'male')	 supp: 0.13%
('2014', 'olivia')	 supp: 0.13%
('2014', 'female', 'olivia')	 supp: 0.13%
('2016', 'matthew')	 supp: 0.13%
('2013', 'matthew')	 supp: 0.13%
('2016', 'male', 'matthew')	 supp: 0.13%
('2013', 'male', 'matthew')	 supp: 0.13%
('2012', 'joseph')	 supp: 0.13%
('2019', 'ethan')	 supp: 0.13%
('2012', 'joseph', 'male')	 supp: 0.13%
('2019', 'ethan', 'male')	 supp: 0.13%
('female', 'serenity')	 supp: 0.13%
('2015', 'daniel')	 supp: 0.13%
('2016', 'aiden')	 supp: 0.13%
('2011', 'aiden')	 supp: 0.13%
('2015', 'daniel', 'male')	 supp: 0.13%
('2016', 'aiden', 'male')	 supp: 0.13%
('2011', 'aiden', 'male')	 supp: 0.13%
('eva', 'white non hispanic')	 supp: 0.13%
('eva', 'female', 'white non hispanic')	 supp: 0.13%
('2015', 'dylan')	 supp: 0.13%
('2015', 'sophia')	 supp: 0.13%
('2015', 'dylan', 'male')	 supp: 0.13%
('2015', 'female', 'sophia')	 supp: 0.13%
('2013', 'alexander')	 supp: 0.13%
('asian and pacific islander', 'sarah')	 supp: 0.13%
('2013', 'alexander', 'male')	 supp: 0.13%
('asian and pacific islander', 'female', 'sarah')	 supp: 0.13%
('2014', 'mia')	 supp: 0.13%
('2014', 'female', 'mia')	 supp: 0.13%
('2016', 'emma')	 supp: 0.13%
('2015', 'aiden')	 supp: 0.13%
('2016', 'emma', 'female')	 supp: 0.13%
('2015', 'aiden', 'male')	 supp: 0.13%
('jordan', 'male')	 supp: 0.13%
('ibrahim', 'male')	 supp: 0.13%
('amelia', 'hispanic')	 supp: 0.13%
('raizy', 'white non hispanic')	 supp: 0.13%
('amelia', 'female', 'hispanic')	 supp: 0.13%
('female', 'raizy', 'white non hispanic')	 supp: 0.13%
('robert', 'white non hispanic')	 supp: 0.13%
('male', 'robert', 'white non hispanic')	 supp: 0.13%
('2016', 'daniel')	 supp: 0.13%
('2016', 'daniel', 'male')	 supp: 0.13%
('2014', 'david')	 supp: 0.13%
('2014', 'david', 'male')	 supp: 0.13%
('2013', 'emma')	 supp: 0.13%
('black non hispanic', 'david')	 supp: 0.13%
('black non hispanic', 'jacob')	 supp: 0.13%
('2013', 'emma', 'female')	 supp: 0.13%
('black non hispanic', 'david', 'male')	 supp: 0.13%
('black non hispanic', 'jacob', 'male')	 supp: 0.13%
('asian and pacific islander', 'david')	 supp: 0.13%
('2015', 'emma')	 supp: 0.13%
('alex', 'male')	 supp: 0.13%
('asian and pacific islander', 'david', 'male')	 supp: 0.13%
('2015', 'emma', 'female')	 supp: 0.13%
('2014', 'matthew')	 supp: 0.13%
('2014', 'male', 'matthew')	 supp: 0.13%
('female', 'valerie')	 supp: 0.13%
('2017', 'olivia')	 supp: 0.13%
('black non hispanic', 'skylar')	 supp: 0.13%
('2017', 'female', 'olivia')	 supp: 0.13%
('black non hispanic', 'female', 'skylar')	 supp: 0.13%
('2017', 'david')	 supp: 0.13%
('2017', 'david', 'male')	 supp: 0.13%
('2015', 'mia')	 supp: 0.13%
('joshua', 'white non hispanic')	 supp: 0.13%
('2015', 'female', 'mia')	 supp: 0.13%
('joshua', 'male', 'white non hispanic')	 supp: 0.13%
('2011', 'justin')	 supp: 0.13%
('2017', 'mia')	 supp: 0.13%
('asian and pacific islander', 'ava')	 supp: 0.13%
('alan', 'male')	 supp: 0.13%
('female', 'lucy')	 supp: 0.13%
('2011', 'justin', 'male')	 supp: 0.13%
('2017', 'female', 'mia')	 supp: 0.13%
('asian and pacific islander', 'ava', 'female')	 supp: 0.13%
('black non hispanic', 'olivia')	 supp: 0.13%
('black non hispanic', 'female', 'olivia')	 supp: 0.13%
('2011', 'alexander')	 supp: 0.13%
('2011', 'alexander', 'male')	 supp: 0.13%
('bella', 'hispanic')	 supp: 0.13%
('bella', 'female', 'hispanic')	 supp: 0.13%
('owen', 'white non hispanic')	 supp: 0.12%
('male', 'owen', 'white non hispanic')	 supp: 0.12%
('asian and pacific islander', 'michael')	 supp: 0.12%
('2014', 'aiden')	 supp: 0.12%
('eleanor', 'white non hispanic')	 supp: 0.12%
('penelope', 'white non hispanic')	 supp: 0.12%
('black non hispanic', 'chloe')	 supp: 0.12%
('male', 'mohammad')	 supp: 0.12%
('asian and pacific islander', 'male', 'michael')	 supp: 0.12%
('2014', 'aiden', 'male')	 supp: 0.12%
('eleanor', 'female', 'white non hispanic')	 supp: 0.12%
('female', 'penelope', 'white non hispanic')	 supp: 0.12%
('black non hispanic', 'chloe', 'female')	 supp: 0.12%
('2013', 'liam')	 supp: 0.12%
('female', 'jasmine')	 supp: 0.12%
('2013', 'liam', 'male')	 supp: 0.12%
('2013', 'dylan')	 supp: 0.12%
('2016', 'michael')	 supp: 0.12%
('2016', 'lucas')	 supp: 0.12%
('2013', 'dylan', 'male')	 supp: 0.12%
('2016', 'male', 'michael')	 supp: 0.12%
('2016', 'lucas', 'male')	 supp: 0.12%
('2015', 'isabella')	 supp: 0.12%
('2015', 'female', 'isabella')	 supp: 0.12%
('2015', 'michael')	 supp: 0.12%
('aaliyah', 'black non hispanic')	 supp: 0.12%
('2015', 'male', 'michael')	 supp: 0.12%
('aaliyah', 'black non hispanic', 'female')	 supp: 0.12%
('2018', 'emma')	 supp: 0.12%
('2018', 'emma', 'female')	 supp: 0.12%
('2013', 'olivia')	 supp: 0.12%
('andrew', 'asian and pacific islander')	 supp: 0.12%
('chase', 'male')	 supp: 0.12%
('black non hispanic', 'chase')	 supp: 0.12%
('aaliyah', 'hispanic')	 supp: 0.12%
('2013', 'female', 'olivia')	 supp: 0.12%
('andrew', 'asian and pacific islander', 'male')	 supp: 0.12%
('black non hispanic', 'chase', 'male')	 supp: 0.12%
('aaliyah', 'female', 'hispanic')	 supp: 0.12%
('2016', 'dylan')	 supp: 0.12%
('2016', 'dylan', 'male')	 supp: 0.12%
('2014', 'emma')	 supp: 0.12%
('rivky', 'white non hispanic')	 supp: 0.12%
('2014', 'emma', 'female')	 supp: 0.12%
('female', 'rivky', 'white non hispanic')	 supp: 0.12%
('2019', 'emma')	 supp: 0.12%
('asher', 'white non hispanic')	 supp: 0.12%
('mila', 'white non hispanic')	 supp: 0.12%
('2019', 'emma', 'female')	 supp: 0.12%
('asher', 'male', 'white non hispanic')	 supp: 0.12%
('female', 'mila', 'white non hispanic')	 supp: 0.12%
('2014', 'dylan')	 supp: 0.12%
('2014', 'dylan', 'male')	 supp: 0.12%
('asian and pacific islander', 'grace')	 supp: 0.12%
('asian and pacific islander', 'female', 'grace')	 supp: 0.12%
('2017', 'matthew')	 supp: 0.12%
('2015', 'alexander')	 supp: 0.12%
('black non hispanic', 'daniel')	 supp: 0.12%
('2017', 'male', 'matthew')	 supp: 0.12%
('2015', 'alexander', 'male')	 supp: 0.12%
('black non hispanic', 'daniel', 'male')	 supp: 0.12%
('asian and pacific islander', 'dylan')	 supp: 0.12%
('hispanic', 'valerie')	 supp: 0.12%
('asian and pacific islander', 'dylan', 'male')	 supp: 0.12%
('female', 'hispanic', 'valerie')	 supp: 0.12%
('2013', 'joseph')	 supp: 0.12%
('logan', 'white non hispanic')	 supp: 0.12%
('2013', 'joseph', 'male')	 supp: 0.12%
('logan', 'male', 'white non hispanic')	 supp: 0.12%
('evelyn', 'white non hispanic')	 supp: 0.12%
('evelyn', 'female', 'white non hispanic')	 supp: 0.12%
('2017', 'sophia')	 supp: 0.12%
('2019', 'jacob')	 supp: 0.12%
('asian and pacific islander', 'leo')	 supp: 0.12%
('hispanic', 'josiah')	 supp: 0.12%
('male', 'tristan')	 supp: 0.12%
('2017', 'female', 'sophia')	 supp: 0.12%
('2019', 'jacob', 'male')	 supp: 0.12%
('asian and pacific islander', 'leo', 'male')	 supp: 0.12%
('hispanic', 'josiah', 'male')	 supp: 0.12%
('2017', 'lucas')	 supp: 0.12%
('asian and pacific islander', 'henry')	 supp: 0.12%
('king', 'male')	 supp: 0.12%
('black non hispanic', 'king')	 supp: 0.12%
('avery', 'white non hispanic')	 supp: 0.12%
('2017', 'lucas', 'male')	 supp: 0.12%
('asian and pacific islander', 'henry', 'male')	 supp: 0.12%
('black non hispanic', 'king', 'male')	 supp: 0.12%
('avery', 'female', 'white non hispanic')	 supp: 0.12%
('asian and pacific islander', 'justin')	 supp: 0.12%
('asian and pacific islander', 'justin', 'male')	 supp: 0.12%
('white non hispanic', 'yitzchok')	 supp: 0.12%
('female', 'vivian')	 supp: 0.12%
('male', 'white non hispanic', 'yitzchok')	 supp: 0.12%
('2011', 'joseph')	 supp: 0.12%
('2012', 'emma')	 supp: 0.12%
('bryan', 'male')	 supp: 0.12%
('christopher', 'white non hispanic')	 supp: 0.12%
('amaya', 'female')	 supp: 0.12%
('2011', 'joseph', 'male')	 supp: 0.12%
('2012', 'emma', 'female')	 supp: 0.12%
('christopher', 'male', 'white non hispanic')	 supp: 0.12%
('2018', 'isabella')	 supp: 0.12%
('2016', 'david')	 supp: 0.12%
('asian and pacific islander', 'nathan')	 supp: 0.12%
('2018', 'female', 'isabella')	 supp: 0.12%
('2016', 'david', 'male')	 supp: 0.12%
('asian and pacific islander', 'male', 'nathan')	 supp: 0.12%
('asian and pacific islander', 'joseph')	 supp: 0.12%
('asian and pacific islander', 'joseph', 'male')	 supp: 0.12%
('2015', 'joseph')	 supp: 0.12%
('2018', 'aiden')	 supp: 0.12%
('daniela', 'female')	 supp: 0.12%
('daniela', 'hispanic')	 supp: 0.12%
('2015', 'joseph', 'male')	 supp: 0.12%
('2018', 'aiden', 'male')	 supp: 0.12%
('daniela', 'female', 'hispanic')	 supp: 0.12%
('female', 'london')	 supp: 0.12%
('black non hispanic', 'london')	 supp: 0.12%
('black non hispanic', 'female', 'london')	 supp: 0.12%
('2012', 'emily')	 supp: 0.12%
('2012', 'emily', 'female')	 supp: 0.12%
('2017', 'isabella')	 supp: 0.12%
('2016', 'alexander')	 supp: 0.12%
('2014', 'lucas')	 supp: 0.12%
('2017', 'female', 'isabella')	 supp: 0.12%
('2016', 'alexander', 'male')	 supp: 0.12%
('2014', 'lucas', 'male')	 supp: 0.12%
('2013', 'ryan')	 supp: 0.12%
('ayden', 'black non hispanic')	 supp: 0.12%
('black non hispanic', 'kayden')	 supp: 0.12%
('2013', 'male', 'ryan')	 supp: 0.12%
('ayden', 'black non hispanic', 'male')	 supp: 0.12%
('black non hispanic', 'kayden', 'male')	 supp: 0.12%
('2013', 'mia')	 supp: 0.12%
('2012', 'olivia')	 supp: 0.12%
('2013', 'female', 'mia')	 supp: 0.12%
('2012', 'female', 'olivia')	 supp: 0.12%
('female', 'nora')	 supp: 0.12%
('2016', 'mia')	 supp: 0.12%
('2016', 'female', 'mia')	 supp: 0.12%
('2014', 'joseph')	 supp: 0.11%
('2018', 'david')	 supp: 0.11%
('2014', 'joseph', 'male')	 supp: 0.11%
('2018', 'david', 'male')	 supp: 0.11%
('asian and pacific islander', 'tenzin')	 supp: 0.11%
('2016', 'isabella')	 supp: 0.11%
('2017', 'daniel')	 supp: 0.11%
('alice', 'white non hispanic')	 supp: 0.11%
('2016', 'female', 'isabella')	 supp: 0.11%
('2017', 'daniel', 'male')	 supp: 0.11%
('alice', 'female', 'white non hispanic')	 supp: 0.11%
('2018', 'sophia')	 supp: 0.11%
('claire', 'female')	 supp: 0.11%
('2018', 'female', 'sophia')	 supp: 0.11%
('2017', 'jayden')	 supp: 0.11%
('2017', 'jayden', 'male')	 supp: 0.11%
('2017', 'joseph')	 supp: 0.11%
('2011', 'anthony')	 supp: 0.11%
('asian and pacific islander', 'charlotte')	 supp: 0.11%
('asian and pacific islander', 'kevin')	 supp: 0.11%
('2017', 'joseph', 'male')	 supp: 0.11%
('2011', 'anthony', 'male')	 supp: 0.11%
('asian and pacific islander', 'charlotte', 'female')	 supp: 0.11%
('asian and pacific islander', 'kevin', 'male')	 supp: 0.11%
('2018', 'mia')	 supp: 0.11%
('2012', 'mason')	 supp: 0.11%
('2019', 'lucas')	 supp: 0.11%
('2017', 'aiden')	 supp: 0.11%
('2018', 'female', 'mia')	 supp: 0.11%
('2012', 'male', 'mason')	 supp: 0.11%
('2019', 'lucas', 'male')	 supp: 0.11%
('2017', 'aiden', 'male')	 supp: 0.11%
('2013', 'lucas')	 supp: 0.11%
('female', 'violet')	 supp: 0.11%
('2013', 'lucas', 'male')	 supp: 0.11%
('2018', 'olivia')	 supp: 0.11%
('2018', 'female', 'olivia')	 supp: 0.11%
('2019', 'olivia')	 supp: 0.11%
('2014', 'ryan')	 supp: 0.11%
('2019', 'female', 'olivia')	 supp: 0.11%
('2014', 'male', 'ryan')	 supp: 0.11%
